Tweet,Location,URL
 tu mamá la chismosa pinché vieja de Torreón @AntonioAttolini,"Distrito Federal, México",https://twitter.com/user/status/1390804750644531201
"""Presidenta del sindicato de mamás luchonas"" En busca de un Papa para mis bendiciones me acueste con quién me acueste!",Mexico,https://twitter.com/soymamaluchona/status/867079014770462720
"""Weeey nosotros somos el virus ??"" pues órale mátate morra, ayuda al planeta a librarse de este mal! O todos somos virus menos tú, ridícula?",México ,https://twitter.com/LinajeB/status/1262793755981230081
"""ya sé mucho de ese tema y tengo clarito todo todo"" *sale embarazada a los 16 *",Mexico,https://twitter.com/lalonganiza05/status/1381849497773481984
"#JuegoSurvivor Todos los Alcones me cagan, bola de hipócritas, los ""hombres"" pocos huevos y las viejas que mejor se vayan a tomar el Té pinches mamonas, a mi me representa una vieja cabrona y con huevos, no esas viejas payasas, mejor que vayan a cuidar sus implantes ??","Distrito Federal, México",https://twitter.com/user/status/1387608688077180929
#JuegoSurvivore cagan las mujeres de halcones de todo se quejan así son los juegos mejor no hubieran ido cuando ellas hacen algo porque no se quejan solo lo que les conviene Cara aburrida,"leon gto,mexico",https://twitter.com/user/status/1387606243284561924
#LadyCinepolis alguien que tenga una hija de la edad de esa pinché mugrosa para que le meta una buena arrastrada ! Yo le digo a una vecina para que le ponga sus cacheteadones a la mamá ! @Cinepolis nunca las dejen entrar a sus salas  ????..,"Tlalpan, Distrito Federal",https://twitter.com/user/status/1393269784536625156
#LadyComeGratis pinche vieja abusona d mierda sino traía dinero para tragar q no salga d su casa la culera pinche vieja traga cuando hay,Mexico,https://twitter.com/JorgeAn11988684/status/1392306227561082880
#LadyComeGratis que poca madre! Eso no se vale pinche marrana! Esa panzota no es es gratis he!,Mexico,https://twitter.com/ju4n170/status/1392323727296286723
"#ladycomegratis, alias Brenda Pardo Lemus, es una sinvergüenza. Aparentemente de Torreón, fue a Gómez Palacio, Durango, a tragar gratis. Y en su Facebook bien que presume sus tragaderas desde hace años.",Mexico,https://twitter.com/RumartzG/status/1392320317301968899
